Name,Age,Nationality,Team,Rating,Total Kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Kills / Round,Maps played
Mathieu 'ZywOo' Herbaut,18,France,Vitality,1.38,9173,44.2,6500,1.41,93.5,0.89,396
Aleksandr 's1mple' Kostyliev,21,Ukraine,Natus Vincere,1.23,22271,42.2,17179,1.30,87.0,0.85,992
Ismailcan 'XANTARES' Dörtkardeş,23,Turkey,BIG,1.22,20805,53.8,16881,1.23,95.4,0.86,930
Hansel 'BnTeT' Ferdinand,23,Indonesia,TYLOO,1.21,11494,38.7,8736,1.32,86.4,0.81,553
Marcelo 'coldzera' David,24,Brazil,MIBR,1.20,20768,47.8,15675,1.32,82.5,0.80,1000
Simon 'Sico' Williams,24,New Zealand,Grayhound,1.19,10519,35.6,7879,1.34,82.6,0.79,524
Kaike 'KSCERATO' Cerato,19,Brazil,FURIA,1.23,6046,52.7,4449,1.36,80.7,0.76,315
Andrew 'Kaze' Khong,24,Malaysia,ViCi,1.19,9593,29.2,7491,1.28,81.5,0.79,468
WingHei 'Freeman' Cheung,19,Hong Kong,ViCi,1.21,10556,50.0,8434,1.25,83.6,0.80,520
Nikola 'NiKo' Kovač,22,Bosnia and Herzegovina,FaZe,1.18,22424,50.5,18480,1.21,86.3,0.81,1048
Aran 'Sonic' Groesbeek,20,South Africa,ATK,1.18,8012,47.6,6340,1.26,83.5,0.79,407
David 'frozen' Čerňanský,16,Slovakia,mousesports,1.17,12632,54.4,10390,1.22,87.0,0.81,607
Owen 'smooya' Butterfield,19,United Kingdom,No team,1.20,7414,28.4,6080,1.22,82.1,0.80,354
Hyun-Pyo 'XigN' Lee,22,Korea,MVP PK,1.17,10537,50.6,8565,1.23,84.6,0.80,513
Yuri 'yuurih' Santos,19,Brazil,FURIA,1.25,8297,42.7,6676,1.24,89.7,0.80,407
Nicolai 'device' Reedtz,23,Denmark,Astralis,1.17,26620,35.3,21193,1.26,80.8,0.78,1313
Adrian 'XELLOW' Guta,18,Romania,Nexus,1.17,11530,43.7,9565,1.21,84.4,0.81,552
