,Match ID,Round,Team,Player,Side,Time (Seconds),Weapon Used,Victim,Victim Weapon,Won Round,Winner,Map
0,82050,1,FaZe Clan,olofmeister,ct,47,usp_silencer,s1mple,p250,True,FaZe Clan,Mirage
1,82050,2,FaZe Clan,GuardiaN,ct,51,p250,s1mple,deagle,True,FaZe Clan,Mirage
2,82050,3,FaZe Clan,NiKo,ct,42,m4a1,flamie,deagle,False,Natus Vincere,Mirage
3,82050,4,Natus Vincere,electronic,terrorist,81,ak47,NiKo,deagle,True,Natus Vincere,Mirage
4,82050,5,Natus Vincere,flamie,terrorist,8,awp,GuardiaN,awp,True,Natus Vincere,Mirage
5,82050,6,Natus Vincere,electronic,terrorist,8,ak47,NiKo,awp,True,Natus Vincere,Mirage
6,82050,7,FaZe Clan,GuardiaN,ct,19,awp,flamie,ak47,True,FaZe Clan,Mirage
7,82050,8,FaZe Clan,rain,ct,44,m4a1,s1mple,awp,True,FaZe Clan,Mirage
8,82050,9,FaZe Clan,NiKo,ct,22,m4a1,s1mple,awp,False,Natus Vincere,Mirage
9,82050,10,Natus Vincere,Edward,terrorist,68,ak47,olofmeister,deagle,True,Natus Vincere,Mirage
10,82050,11,FaZe Clan,olofmeister,ct,64,awp,Zeus,ak47,True,FaZe Clan,Mirage
11,82050,12,Natus Vincere,electronic,terrorist,30,ak47,rain,m4a1,True,Natus Vincere,Mirage
12,82050,13,Natus Vincere,Edward,terrorist,83,galilar,rain,cz75a,True,Natus Vincere,Mirage
13,82050,14,Natus Vincere,Zeus,terrorist,62,ak47,GuardiaN,hkp2000,True,Natus Vincere,Mirage
14,82050,15,Natus Vincere,electronic,terrorist,74,awp,olofmeister,aug,False,FaZe Clan,Mirage
15,82050,16,FaZe Clan,GuardiaN,terrorist,23,glock,s1mple,usp_silencer,True,FaZe Clan,Mirage
16,82050,17,FaZe Clan,olofmeister,terrorist,45,mac10,Zeus,cz75a,False,Natus Vincere,Mirage
17,82050,18,FaZe Clan,NiKo,terrorist,25,deagle,flamie,mac10,False,Natus Vincere,Mirage
18,82050,19,Natus Vincere,Zeus,ct,56,ump45,rain,p250,True,Natus Vincere,Mirage
19,82050,20,Natus Vincere,flamie,ct,30,m4a1,GuardiaN,ak47,True,Natus Vincere,Mirage
20,82050,21,Natus Vincere,s1mple,ct,14,awp,rain,cz75a,True,Natus Vincere,Mirage
21,82050,22,Natus Vincere,Zeus,ct,26,ump45,olofmeister,ak47,True,Natus Vincere,Mirage
22,82050,23,Natus Vincere,Zeus,ct,22,ak47,olofmeister,mac10,True,Natus Vincere,Mirage
23,81790,1,Vitality,NBK-,ct,14,usp_silencer,jks,glock,True,Vitality,Cache
