,Match ID,Event,Date,Team 1,Team 2,Map,Team 1 Rounds,Team 2 Rounds,Total Rounds,Winner,Team 1 FK,Team 2 FK,Team 1 Clutches,Team 2 Clutches,Team 1 Rating,Team 2 Rating
0,82050,IEM Katowice 2019,2019-02-28 15:20:00,Natus Vincere,FaZe,Mirage,16,7,23,Natus Vincere,13,10,0,1,1.28,0.74
1,81790,IEM Katowice 2019,2019-02-22 12:00:00,Renegades,Vitality,Cache,11,16,27,Vitality,9,18,0,1,0.96,1.18
2,81761,IEM Katowice 2019,2019-02-21 18:30:00,Liquid,Natus Vincere,Dust2,16,9,25,Liquid,10,15,2,1,1.27,0.85
3,74061,FACEIT Major 2018,2018-09-22 19:05:00,Liquid,Astralis,Mirage,7,16,23,Astralis,9,14,0,2,0.82,1.23
4,74059,FACEIT Major 2018,2018-09-22 15:25:00,MIBR,Natus Vincere,Dust2,5,16,21,Natus Vincere,7,14,0,0,0.72,1.4
5,74055,FACEIT Major 2018,2018-09-21 19:35:00,Astralis,FaZe,Inferno,16,12,28,Astralis,13,15,1,2,1.13,0.96
6,74051,FACEIT Major 2018,2018-09-21 15:20:00,Liquid,HellRaisers,Cache,16,8,24,Liquid,11,13,2,1,1.32,0.8
7,74049,FACEIT Major 2018,2018-09-21 15:20:00,Liquid,HellRaisers,Dust2,10,16,26,HellRaisers,13,13,3,3,0.93,1.2
8,74026,FACEIT Major 2018,2018-09-20 17:05:00,compLexity,MIBR,Inferno,12,16,28,MIBR,8,20,2,1,0.78,1.27
9,74002,FACEIT Major 2018,2018-09-20 14:30:00,BIG,Natus Vincere,Dust2,2,16,18,Natus Vincere,6,12,0,2,0.5,1.58
10,73833,FACEIT Major 2018,2018-09-16 16:45:00,NiP,MIBR,Train,11,16,27,MIBR,11,16,2,2,1.01,1.05
11,73828,FACEIT Major 2018,2018-09-16 16:45:00,NiP,MIBR,Mirage,16,10,26,NiP,12,14,0,1,1.15,0.95
12,73812,FACEIT Major 2018,2018-09-16 13:50:00,G2,FaZe,Dust2,22,25,47,FaZe,24,23,2,3,0.97,1.06
13,73807,FACEIT Major 2018,2018-09-16 10:00:00,fnatic,HellRaisers,Cache,2,16,18,HellRaisers,7,11,0,1,0.54,1.54
14,73803,FACEIT Major 2018,2018-09-16 10:00:00,fnatic,HellRaisers,Dust2,9,16,25,HellRaisers,12,13,2,2,0.92,1.22
15,73800,FACEIT Major 2018,2018-09-16 10:00:00,fnatic,HellRaisers,Mirage,19,17,36,fnatic,20,16,3,5,1.1,1.08
16,73767,FACEIT Major 2018,2018-09-15 10:05:00,BIG,HellRaisers,Train,16,9,25,BIG,16,9,2,1,1.35,0.75
17,73733,FACEIT Major 2018,2018-09-14 10:40:00,TYLOO,HellRaisers,Overpass,10,16,26,HellRaisers,15,10,2,2,0.99,1.12
