Match ID,Event,Date,Team 1,Team 2,Map,Team 1 Rounds,Team 2 Rounds,Total Rounds,Winner,Team 1 FK,Team 2 FK,Team 1 Clutches,Team 2 Clutches,Team 1 Rating,Team 2 Rating
82145,IEM Katowice 2019,2019-03-03 18:05:00,ENCE,Astralis,Inferno,4,16,20,Astralis,11,9,1,0,0.61,1.56
82143,IEM Katowice 2019,2019-03-03 18:05:00,ENCE,Astralis,Train,11,16,27,Astralis,15,11,4,1,0.92,1.17
82123,IEM Katowice 2019,2019-03-02 19:20:00,MIBR,Astralis,Inferno,7,16,23,Astralis,9,14,0,4,0.9,1.25
82121,IEM Katowice 2019,2019-03-02 19:20:00,MIBR,Astralis,Overpass,14,16,30,Astralis,16,14,1,2,1.0,1.12
82120,IEM Katowice 2019,2019-03-02 15:10:00,Natus Vincere,ENCE,Mirage,14,16,30,ENCE,14,16,4,2,1.01,1.1
82119,IEM Katowice 2019,2019-03-02 15:10:00,Natus Vincere,ENCE,Dust2,16,3,19,Natus Vincere,15,4,1,0,1.65,0.44
82117,IEM Katowice 2019,2019-03-02 15:10:00,Natus Vincere,ENCE,Train,14,16,30,ENCE,14,16,2,1,0.93,1.19
82095,IEM Katowice 2019,2019-03-01 18:35:00,Astralis,NiP,Dust2,16,14,30,Astralis,19,11,1,0,1.07,0.97
82091,IEM Katowice 2019,2019-03-01 18:35:00,Astralis,NiP,Mirage,16,2,18,Astralis,13,5,1,1,1.58,0.49
82087,IEM Katowice 2019,2019-03-01 15:10:00,MIBR,Renegades,Train,16,12,28,MIBR,15,13,0,0,1.16,0.89
82082,IEM Katowice 2019,2019-03-01 15:10:00,MIBR,Renegades,Dust2,16,6,22,MIBR,14,8,1,0,1.37,0.7
82063,IEM Katowice 2019,2019-02-28 18:40:00,Liquid,ENCE,Inferno,16,19,35,ENCE,14,21,4,0,0.96,1.19
82058,IEM Katowice 2019,2019-02-28 18:40:00,Liquid,ENCE,Mirage,11,16,27,ENCE,8,19,1,0,0.83,1.22
82050,IEM Katowice 2019,2019-02-28 15:20:00,Natus Vincere,FaZe,Mirage,16,7,23,Natus Vincere,13,10,0,1,1.28,0.74
82045,IEM Katowice 2019,2019-02-28 15:20:00,Natus Vincere,FaZe,Inferno,16,13,29,Natus Vincere,15,14,1,0,1.07,0.96
